apple:3:[-1.0, 0.945, 0.852, 1.0, -0.8493, 0.2737, -0.9897, -0.9947, -0.9683, -1.0, -0.2679, -1.0, -1.0, 0.9628, 0.5899, 0.4788, -0.9648, -0.9475, -0.9697, -1.0, 0.9795, -0.9487, 0.6026, -0.5116, -0.9902, 0.7308]
bannana:3:[-1.0, 1.0, 1.0, 0.9718, -0.9692, -0.8385, -0.9205, -1.0, -0.9769, -0.9974, 0.0564, -1.0, -0.9974, -0.7846, -1.0, -0.0718, -0.9974, -1.0, -1.0, -0.9744, -0.7538, 0.9564, 0.5949, -0.6667, -1.0, 0.8231]
beach ball:3:[-1.0, -0.8588, 0.8352, -0.8927, 1.0, -0.9077, -0.9744, -0.9614, -0.9964, -0.9795, -1.0, -1.0, -1.0, -1.0, 0.1897, 0.3899, -0.9333, -0.941, -0.8966, -1.0, 1.0, -0.9113, -0.9795, 0.0956, -0.9769, 0.7308]
bear:3:[0.9359, -0.9428, -0.4611, -0.959, -0.9128, 0.7949, -1.0, 0.6077, 0.1436, 0.2029, 0.2052, 0.9308, 0.7912, -0.5809, 0.4763, -0.7949, -0.9662, -1.0, 0.8205, -0.9923, -0.4102, -0.8205, -0.9774, -0.982, -0.5966, 0.7]
bell:3:[-0.9949, 0.7251, -0.4493, -1.0, 0.8385, 0.3675, -1.0, -0.9846, -1.0, -0.9784, -1.0, -1.0, -0.4387, 0.9744, 0.9767, 0.7967, -0.4901, -0.9543, -1.0, -0.6646, 0.641, -0.4901, -1.0, 0.6282, -0.6667, -1.0]
calculator:5:[-1.0, 1.0, -0.5954, -0.9615, 0.9738, -0.8184, -1.0, -0.9862, -0.98, 0.8369, -0.9739, -0.9846, -0.9908, 0.9231, -0.2831, -0.7153, -0.9385, 0.0661, -0.9692, 0.9785, -0.7261, -0.0384, -0.9185, 0.9492, -0.9216, -1.0]
candle:3:[-1.0, 0.8882, 0.8083, -0.9949, 0.8615, -0.3666, -1.0, -1.0, -0.9872, -1.0, 0.8359, -0.9769, -1.0, 0.3161, -0.3486, -0.1409, 0.0461, 0.8958, 0.2874, -1.0, 0.5102, 0.7079, -0.8667, 0.2574, -0.8615, -0.9353]
car:3:[-1.0, -0.9872, 0.2256, -0.9385, 0.9436, 0.9897, -1.0, -1.0, -1.0, 0.1846, -0.3718, -0.5333, 0.9667, 0.9667, 0.6564, 1.0, 0.6667, 0.7513, -0.2179, 0.9641, -0.8179, -0.4897, -0.9667, 1.0, -0.9385, -0.5949]
carrot:3:[-0.9795, 0.8077, 0.8692, 0.9897, -0.8439, -0.1729, -1.0, -0.9897, -0.9179, -0.9308, -0.5913, -0.9823, -0.992, 0.8038, 0.4866, -0.9974, -0.9712, -0.9617, -1.0, -0.9718, -0.6396, 0.6486, 0.1308, -0.9974, -1.0, 0.857]
cat:8:[0.9761, -0.3203, -0.1033, -0.7472, -0.825, 0.628, 0.9837, 0.9968, 0.9856, 0.1209, 0.1346, -0.1413, -0.2356, -0.5105, 0.4962, -1.0, 0.1046, -0.9961, 0.0971, -0.9865, -0.4363, -0.1971, -0.7807, -0.2482, -0.9865, 0.958]
catfish:3:[1.0, -0.2462, -0.3321, 0.0843, -1.0, 0.5978, 0.8127, -1.0, -1.0, 0.1743, 0.289, -1.0, -1.0, -0.2739, -0.5008, -0.5619, -0.6667, -1.0, -1.0, -1.0, -0.5672, -0.1157, -0.9259, -0.9917, -0.9821, 0.9974]
